time,latitude,longitude,temp_C,dewpoint_C,wind_speed,RH
2021-04-01 10:00:00,23.25,72.75,37.375427,8.656403,1.1107134,17.49944
2021-04-01 10:00:00,23.0,72.25,37.23871,8.828278,1.4458357,17.836271
2021-04-01 10:00:00,23.0,72.5,37.46527,8.763824,1.3554395,17.540924
2021-04-01 10:00:00,23.0,72.75,37.893005,8.298981,1.4845545,16.606985
2021-04-01 10:00:00,22.75,72.25,38.182068,8.349762,1.9430503,16.40512
2021-04-01 10:00:00,22.75,72.5,37.22699,9.802887,1.5219766,19.056904
2021-04-01 10:00:00,22.75,72.75,37.31488,10.076324,1.7012247,19.316114
2021-04-01 11:00:00,23.25,72.25,37.694305,7.9997253,1.5837184,16.44957
2021-04-01 11:00:00,23.25,72.5,37.893524,7.976288,1.4909284,16.24664
2021-04-01 11:00:00,23.25,72.75,37.469696,9.056366,1.4635087,17.886332
2021-04-01 11:00:00,23.0,72.25,37.342743,9.652069,1.6328757,18.746521
2021-04-01 11:00:00,23.0,72.5,37.55368,9.323944,1.6257974,18.12845
2021-04-01 11:00:00,23.0,72.75,37.989227,8.536835,1.7631389,16.788876
2021-04-01 11:00:00,22.75,72.25,38.37204,8.77121,2.1561816,16.70703
2021-04-01 11:00:00,22.75,72.5,37.36618,10.497772,1.7482593,19.81176
2021-04-01 11:00:00,22.75,72.75,37.41696,10.308319,1.936795,19.508997
2021-04-01 12:00:00,23.25,72.25,37.26822,12.067169,1.1913719,22.099443
2021-04-01 12:00:00,23.25,72.5,37.785797,9.000763,1.5207158,17.51573
2021-04-01 12:00:00,23.25,72.75,37.447906,10.940216,1.463861,20.312914
2021-04-01 12:00:00,23.0,72.25,37.55728,11.600372,1.3024963,21.094843
2021-04-01 12:00:00,23.0,72.5,37.633453,10.608185,1.4769164,19.669779
2021-04-01 12:00:00,23.0,72.75,38.016266,8.537872,1.839854,16.765448
2021-04-01 12:00:00,22.75,72.25,38.45572,9.625763,1.779058,17.616549
2021-04-01 12:00:00,22.75,72.5,37.13736,14.93045,1.309259,26.817667
2021-04-01 12:00:00,22.75,72.75,37.082672,14.455841,1.4827034,26.08707
2021-04-01 13:00:00,23.25,72.25,36.6994,11.565826,1.2938892,22.055502
2021-04-01 13:00:00,23.25,72.5,36.720886,10.464264,2.0530708,20.476513
2021-04-01 13:00:00,23.25,72.75,35.98065,12.575592,2.5305147,24.519505
2021-04-01 13:00:00,23.0,72.25,37.45526,9.16153,1.7010678,18.027668
2021-04-01 13:00:00,23.0,72.5,36.83612,10.708405,2.020732,20.681337
2021-04-01 13:00:00,23.0,72.75,36.37909,11.44278,2.4135988,22.264223
2021-04-01 13:00:00,22.75,72.25,37.576355,7.3041077,2.3988023,15.788778
2021-04-01 13:00:00,22.75,72.5,36.16034,13.196686,1.8992673,25.28492
2021-04-01 13:00:00,22.75,72.75,36.14081,14.669342,2.2136617,27.849388
2021-04-01 14:00:00,23.25,72.25,34.693024,9.56131,0.72876155,21.556425
2021-04-01 14:00:00,23.25,72.5,34.130524,8.629669,2.1355631,20.888512
2021-04-01 14:00:00,23.25,72.75,32.126617,10.36795,2.9448946,26.271994
2021-04-01 14:00:00,23.0,72.25,34.712555,9.459747,1.7070315,21.386679
2021-04-01 14:00:00,23.0,72.5,34.187164,9.416779,2.1147296,21.957497
2021-04-01 14:00:00,23.0,72.75,33.33365,9.065216,2.6993744,22.49214
2021-04-01 14:00:00,22.75,72.25,33.669586,9.584747,1.6333654,22.857792
2021-04-01 14:00:00,22.75,72.5,33.96646,10.641388,1.5561093,24.126915
2021-04-01 14:00:00,22.75,72.75,34.982086,10.18631,2.192213,22.120232
2021-04-01 15:00:00,23.25,72.25,32.402435,9.901215,0.16278777,25.071293
2021-04-01 15:00:00,23.25,72.5,32.49228,8.768402,1.7495364,23.114645
2021-04-01 15:00:00,23.25,72.75,29.765717,10.034027,2.8800807,29.397816
